Year,Bayunit,Estimate.Nonpups,SD.Nonpups,Estimate.Pups,SD.Pups
2017,PBVLW,224,68.5,28,24.8
2017,PNDB,1664,524.8,292,260.1
2017,WB,1293,396.2,420,357.2
2018,BHBIH,701,47.9,237,21.7
2018,BHBIHE,811,56.2,180,19.1
2018,BHBIHW,475,39.5,96,13.7
2018,BHBMR,2280.5,302.8,555,33.0
2018,BHBSI,1079,154.7,344,25.5
2018,BHBUP,1092,116.8,344,26.4
2018,BOSHB,2654.5,268.2,243,21.7
2018,CASB,1838.5,224.5,301,23.2
2018,CASBE,910,75.1,26,7.2
2018,CELPT,1823.5,332.5,64,11.3
2018,COBSB,347,83.4,60,10.8
2018,EB,1358.5,110.4,442,30.0
2018,ENGB,635.5,72.3,154,17.8
2018,FBMDI,1588,91.0,225,20.5
2018,MACHB,2025,299.6,297,24.5
2018,MUSCB,3291,415.0,662,36.2
2018,OUTIS,843.5,135.3,30,7.9
2018,PBEA,2507.5,252.4,948,43.7
2018,PBMC,1244,238.2,151,17.8
2018,PBMW,1398.5,258.5,368.5,27.0
2018,PBUP,427,69.7,30,7.7
2018,PBVL,900,97.8,179,18.7
2018,PBVLW,275,38.9,29,7.6
2018,PNDB,1592.5,156.1,288,24.1
2018,WB,1150,76.3,337,26.0
