"Bayunit","Year","Estimate.Nonpups","SD.Nonpups","Estimate.Pups","SD.Pups","BAYNUM","BAYDESC"
"ENGB",2001,344,47,85,12.4,3,"Englishmans Bay"
"ENGB",2005,460.5,167.1,102.5,96.3,3,"Englishmans Bay"
"ENGB",2012,463,173.2,102,96.9,3,"Englishmans Bay"
"ENGB",2003,431.5,146.1,102,87.2,3,"Englishmans Bay"
"ENGB",1994,468.5,152.6,94,87.7,3,"Englishmans Bay"
"FBMDI",2004,1690,547.7,245.5,223.9,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",2007,1651,593.1,246,221.3,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",2006,1653.5,573.8,244,196.5,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",1998,1787,517.7,245,239.6,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",2012,1401.5,117.3,323.5,25.1,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",2011,1550,446.5,263.5,219.7,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",2003,1754.5,566.6,240,223.8,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",2009,1636,567.6,242.5,198,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",2016,1625,513.1,241,191.8,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",2017,1625.5,456.5,244,232.6,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",2008,1631,576.4,249.5,213.3,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",2014,1616,531.9,247,209.6,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",1993,1425,267.6,143,16.3,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",2000,1890,541.8,244,211.2,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",1999,1826,590.1,247,194.3,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",2005,1677,552.9,244,198.7,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",1996,1731.5,501.7,236,207.1,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",1994,1576.5,471.3,226,195.9,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",2018,1588,91,225,20.5,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",2010,1615,521.5,243,192.9,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",2001,2192,175.4,487,32.8,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",1995,1647.5,515.2,236,212.9,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",2015,1620,522.7,248,199.6,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",2013,1560.5,506.2,253,214.1,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",1997,1840,306.5,192,20,7,"Frenchman Bay and Mount Desert Island"
"FBMDI",2002,1895,540.8,258,218.1,7,"Frenchman Bay and Mount Desert Island"
"MACHB",2004,1601.5,547.1,325,265.2,2,"Machias Bay"
"MACHB",2009,1543.5,544.9,320,256.3,2,"Machias Bay"
"MACHB",2007,1532.5,559.2,316,246.2,2,"Machias Bay"
"MACHB",2006,1566.5,598.3,305,252.1,2,"Machias Bay"
"MACHB",2014,1620,554.4,321,352.8,2,"Machias Bay"
"MACHB",2012,1541,259.9,343,26.6,2,"Machias Bay"
"MACHB",2016,1621.5,571.3,311,273.5,2,"Machias Bay"
"MACHB",2005,1558,583.3,322.5,264.2,2,"Machias Bay"
"MACHB",2017,1716,561.1,314,244.6,2,"Machias Bay"
"MACHB",1993,1287,261.8,236,21.3,2,"Machias Bay"
"MACHB",1998,1523,481,317,261.2,2,"Machias Bay"
"MACHB",2010,1561,537.6,323,263.7,2,"Machias Bay"
"MACHB",2008,1563.5,560.1,316,284.9,2,"Machias Bay"
"MACHB",2003,1565,537.4,310,244.9,2,"Machias Bay"
"MACHB",2000,1549,508.2,317.5,266.4,2,"Machias Bay"
"MACHB",1999,1500.5,516.3,306.5,258.9,2,"Machias Bay"
"MACHB",2013,1538.5,490.9,319.5,248.2,2,"Machias Bay"
"MACHB",1994,1443.5,475.2,301,270.3,2,"Machias Bay"
"MACHB",1996,1472,480.1,321,259,2,"Machias Bay"
"MACHB",2011,1538,503.8,314,289.4,2,"Machias Bay"
"MACHB",2018,2025,299.6,297,24.5,2,"Machias Bay"
"MACHB",2001,1568,184.1,403.5,27.7,2,"Machias Bay"
"MACHB",1995,1496,492.7,302.5,271.8,2,"Machias Bay"
"MACHB",2015,1614.5,545.2,311,269.7,2,"Machias Bay"
"MACHB",1997,1397,274.9,314,25.9,2,"Machias Bay"
"MACHB",2002,1539.5,486.8,314.5,273.3,2,"Machias Bay"
"MUSCB",2012,2050,140.5,678,38.1,16,"Muscongus Bay"
"MUSCB",2013,2474,778.1,480.5,409.7,16,"Muscongus Bay"
"MUSCB",1993,2713,485.2,255.5,23.7,16,"Muscongus Bay"
"MUSCB",2007,2853,1004.8,468.5,416.8,16,"Muscongus Bay"
"MUSCB",2006,2879.5,1015.2,443,380.8,16,"Muscongus Bay"
"MUSCB",2005,2958,1034.1,459.5,400.1,16,"Muscongus Bay"
"MUSCB",2004,2935.5,1068.2,429.5,393.2,16,"Muscongus Bay"
"MUSCB",2011,2529,786.8,464,363,16,"Muscongus Bay"
"MUSCB",1998,2738.5,861.2,434,411.3,16,"Muscongus Bay"
"MUSCB",2017,3001,930.3,460,386.9,16,"Muscongus Bay"
"MUSCB",2009,2760.5,926.9,463,417.2,16,"Muscongus Bay"
"MUSCB",2016,2916,944.8,458.5,461.7,16,"Muscongus Bay"
"MUSCB",1999,2991.5,990.2,434.5,390.9,16,"Muscongus Bay"
"MUSCB",2014,2679,953.3,458.5,423.2,16,"Muscongus Bay"
"MUSCB",2001,4242,742.5,835.5,42.1,16,"Muscongus Bay"
"MUSCB",1996,2718,831.1,418,360.2,16,"Muscongus Bay"
"MUSCB",2000,3338,1076.7,459.5,416.5,16,"Muscongus Bay"
"MUSCB",2018,3291,415,662,36.2,16,"Muscongus Bay"
"MUSCB",2010,2729.5,874.6,445,413.7,16,"Muscongus Bay"
"MUSCB",2008,2843,962.3,454.5,408.6,16,"Muscongus Bay"
"MUSCB",2003,3071.5,1115.5,465.5,394.3,16,"Muscongus Bay"
"MUSCB",2015,2817.5,933.7,471,393,16,"Muscongus Bay"
"MUSCB",1994,2806,889.2,426,400.5,16,"Muscongus Bay"
"MUSCB",1997,2456.5,464.1,206,20.5,16,"Muscongus Bay"
"MUSCB",1995,2749.5,864.2,431,394.6,16,"Muscongus Bay"
"MUSCB",2002,3337.5,1066.8,479,419.2,16,"Muscongus Bay"
"OUTIS",2012,1348,499.8,55,53.4,17,"Outer Islands"
"OUTIS",2006,1361,510.9,57,56.2,17,"Outer Islands"
"OUTIS",2017,1116,391.5,55.5,50.8,17,"Outer Islands"
"OUTIS",2007,1385,477.3,56,51.3,17,"Outer Islands"
"OUTIS",1999,1322.5,458.5,60,51,17,"Outer Islands"
"OUTIS",2014,1312.5,473.2,56,45.3,17,"Outer Islands"
"OUTIS",2001,1841,256.5,117,15.5,17,"Outer Islands"
"OUTIS",2005,1383.5,490.8,58,53.8,17,"Outer Islands"
"OUTIS",1993,2398.5,363.1,97,13.5,17,"Outer Islands"
"OUTIS",2013,1346.5,510.5,58,49.6,17,"Outer Islands"
"OUTIS",2015,1296,482,55,50.3,17,"Outer Islands"
"OUTIS",2003,1466,508,60,53.6,17,"Outer Islands"
"OUTIS",2004,1394,500.6,59,49.3,17,"Outer Islands"
"OUTIS",2000,1512,476.4,60,53.8,17,"Outer Islands"
"OUTIS",2011,1342,505,59,47.4,17,"Outer Islands"
"OUTIS",2008,1355.5,492.3,58,58.2,17,"Outer Islands"
"OUTIS",1994,1611,506.8,60,50,17,"Outer Islands"
"OUTIS",1998,1187,409.7,56,50.6,17,"Outer Islands"
"OUTIS",2016,1235,434.8,54,52.4,17,"Outer Islands"
"OUTIS",2018,843.5,135.3,30,7.9,17,"Outer Islands"
"OUTIS",2010,1341.5,506,57,49.7,17,"Outer Islands"
"OUTIS",2009,1372,508.9,57,50.9,17,"Outer Islands"
"OUTIS",1997,906,208.9,33.5,8.1,17,"Outer Islands"
"OUTIS",2002,1546,486.1,60,50.9,17,"Outer Islands"
"OUTIS",1995,1392.5,453.6,58,59.1,17,"Outer Islands"
"OUTIS",1996,1196.5,415.8,56,48.3,17,"Outer Islands"
"PBEA",2014,2323.5,728.9,659.5,540,18,"Penobscot Bay, Eastern"
"PBEA",1999,2360,779.1,629.5,608,18,"Penobscot Bay, Eastern"
"PBEA",2006,2387,802.1,638.5,648.3,18,"Penobscot Bay, Eastern"
"PBEA",2001,2675.5,224.6,891,41,18,"Penobscot Bay, Eastern"
"PBEA",2000,2512,683.4,637,586.6,18,"Penobscot Bay, Eastern"
"PBEA",2007,2415,821.8,649.5,594.6,18,"Penobscot Bay, Eastern"
"PBEA",1993,2349,413.4,332,25.8,18,"Penobscot Bay, Eastern"
"PBEA",2004,2362.5,823.6,659,582.5,18,"Penobscot Bay, Eastern"
"PBEA",2015,2340.5,784.5,647,561.6,18,"Penobscot Bay, Eastern"
"PBEA",2008,2405.5,851,652,664.8,18,"Penobscot Bay, Eastern"
"PBEA",2012,2077.5,366.9,745,38,18,"Penobscot Bay, Eastern"
"PBEA",2002,2540.5,757.9,654,543.3,18,"Penobscot Bay, Eastern"
"PBEA",2016,2352,778.5,637,567.6,18,"Penobscot Bay, Eastern"
"PBEA",2013,2277,692.7,645.5,527.9,18,"Penobscot Bay, Eastern"
"PBEA",2017,2407.5,738.5,663,547.3,18,"Penobscot Bay, Eastern"
"PBEA",1998,2285,678,653.5,565.8,18,"Penobscot Bay, Eastern"
"PBEA",2009,2304,796.3,652,612.1,18,"Penobscot Bay, Eastern"
"PBEA",1995,2400.5,765.2,604,512.8,18,"Penobscot Bay, Eastern"
"PBEA",1994,2429,763.7,604,566.5,18,"Penobscot Bay, Eastern"
"PBEA",2003,2446.5,804.8,663,566.2,18,"Penobscot Bay, Eastern"
"PBEA",2005,2425,797.8,627,570.7,18,"Penobscot Bay, Eastern"
"PBEA",2011,2218.5,703.7,645.5,536.9,18,"Penobscot Bay, Eastern"
"PBEA",2018,2507.5,252.4,948,43.7,18,"Penobscot Bay, Eastern"
"PBEA",2010,2332,786,652,568.3,18,"Penobscot Bay, Eastern"
"PBEA",1996,2309.5,719.5,648,587,18,"Penobscot Bay, Eastern"
"PBEA",1997,2164.5,395.6,568,33.2,18,"Penobscot Bay, Eastern"
"PBMC",2007,1731.5,650.2,329,273.4,22,"Penobscot Bay, Muscle Channel"
"PBMC",2006,1740.5,642.2,328,269.6,22,"Penobscot Bay, Muscle Channel"
"PBMC",2014,1685.5,564.8,324,272,22,"Penobscot Bay, Muscle Channel"
"PBMC",1999,1743.5,621.8,318.5,268.9,22,"Penobscot Bay, Muscle Channel"
"PBMC",2016,1649,562.4,324.5,264.4,22,"Penobscot Bay, Muscle Channel"
"PBMC",2015,1684,585.8,320.5,251.7,22,"Penobscot Bay, Muscle Channel"
"PBMC",1993,2024,353.6,326,25.5,22,"Penobscot Bay, Muscle Channel"
"PBMC",2009,1726.5,618.5,325.5,273.5,22,"Penobscot Bay, Muscle Channel"
"PBMC",2004,1840.5,662.2,334.5,326.9,22,"Penobscot Bay, Muscle Channel"
"PBMC",2011,1759.5,568.7,352,276.3,22,"Penobscot Bay, Muscle Channel"
"PBMC",1998,1549,509,306.5,250.8,22,"Penobscot Bay, Muscle Channel"
"PBMC",2000,1944.5,623,322,258.9,22,"Penobscot Bay, Muscle Channel"
"PBMC",2017,1481,515.7,309,304.3,22,"Penobscot Bay, Muscle Channel"
"PBMC",2002,1985,646.8,337,275,22,"Penobscot Bay, Muscle Channel"
"PBMC",2008,1724.5,637.4,327.5,273.7,22,"Penobscot Bay, Muscle Channel"
"PBMC",2005,1761,626.9,309,320.9,22,"Penobscot Bay, Muscle Channel"
"PBMC",2013,1762.5,534.3,332.5,258.5,22,"Penobscot Bay, Muscle Channel"
"PBMC",2012,1867,234.1,586,34.3,22,"Penobscot Bay, Muscle Channel"
"PBMC",2001,2499,331.7,539,33.7,22,"Penobscot Bay, Muscle Channel"
"PBMC",1994,1802.5,571.7,318,239.2,22,"Penobscot Bay, Muscle Channel"
"PBMC",2010,1755.5,614.8,334.5,293.9,22,"Penobscot Bay, Muscle Channel"
"PBMC",2003,1882,658.4,335,282.3,22,"Penobscot Bay, Muscle Channel"
"PBMC",1996,1557.5,500.1,308,258.7,22,"Penobscot Bay, Muscle Channel"
"PBMC",1995,1694,566.3,305.5,283.3,22,"Penobscot Bay, Muscle Channel"
"PBMC",2018,1244,238.2,151,17.8,22,"Penobscot Bay, Muscle Channel"
"PBMC",1997,1233,261.6,194,19.1,22,"Penobscot Bay, Muscle Channel"
"PBMW",2000,1508.5,452.2,255,227,21,"Penobscot Bay, Midwest"
"PBMW",2014,1209,415.3,246,218.6,21,"Penobscot Bay, Midwest"
"PBMW",2015,1261.5,460.6,256,197.4,21,"Penobscot Bay, Midwest"
"PBMW",1999,1367.5,468.2,250,209.5,21,"Penobscot Bay, Midwest"
"PBMW",2007,1300.5,462.4,261,231.3,21,"Penobscot Bay, Midwest"
"PBMW",1993,1371,249.1,161,18.5,21,"Penobscot Bay, Midwest"
"PBMW",2016,1305,431.7,259,229.7,21,"Penobscot Bay, Midwest"
"PBMW",2008,1257.5,455.9,248,246.5,21,"Penobscot Bay, Midwest"
"PBMW",2012,844.5,125.6,250,22.7,21,"Penobscot Bay, Midwest"
"PBMW",1998,1258.5,395.9,236,205.4,21,"Penobscot Bay, Midwest"
"PBMW",2004,1330,502.2,255,210.8,21,"Penobscot Bay, Midwest"
"PBMW",2001,1885,213.3,491.5,31.4,21,"Penobscot Bay, Midwest"
"PBMW",1994,1320.5,420.9,233,205.1,21,"Penobscot Bay, Midwest"
"PBMW",2009,1239,451.1,237.5,214.4,21,"Penobscot Bay, Midwest"
"PBMW",1996,1272.5,394,225,200.4,21,"Penobscot Bay, Midwest"
"PBMW",2006,1297.5,488,240.5,219.6,21,"Penobscot Bay, Midwest"
"PBMW",2013,1097.5,372.3,242,226.3,21,"Penobscot Bay, Midwest"
"PBMW",2010,1180.5,413.4,250,203.4,21,"Penobscot Bay, Midwest"
"PBMW",2005,1313.5,506.6,249,200.7,21,"Penobscot Bay, Midwest"
"PBMW",2002,1497,454.4,249,197.7,21,"Penobscot Bay, Midwest"
"PBMW",1995,1288.5,435.4,236,230.9,21,"Penobscot Bay, Midwest"
"PBMW",2017,1331,446.8,247,235.6,21,"Penobscot Bay, Midwest"
"PBMW",2003,1390,492.8,262.5,210.6,21,"Penobscot Bay, Midwest"
"PBMW",2011,1081,351.3,251,178.9,21,"Penobscot Bay, Midwest"
"PBMW",2018,1398.5,258.5,368.5,27,21,"Penobscot Bay, Midwest"
"PBMW",1997,1161,227.5,117,15.6,21,"Penobscot Bay, Midwest"
"PBUP",2007,380,148,27,26.6,20,"Penobscot Bay, Upper Bay"
"PBUP",2015,392,141.5,28,23.9,20,"Penobscot Bay, Upper Bay"
"PBUP",1999,413,134.8,27,26.7,20,"Penobscot Bay, Upper Bay"
"PBUP",2006,382.5,142.4,27,24.6,20,"Penobscot Bay, Upper Bay"
"PBUP",2014,395,146.1,25,25.2,20,"Penobscot Bay, Upper Bay"
"PBUP",2000,447,133.7,28,26.8,20,"Penobscot Bay, Upper Bay"
"PBUP",2009,390,142.2,26,23.7,20,"Penobscot Bay, Upper Bay"
"PBUP",2016,401,141.8,27,24.6,20,"Penobscot Bay, Upper Bay"
"PBUP",2008,381,145.9,29,24.8,20,"Penobscot Bay, Upper Bay"
"PBUP",1998,389,126.3,26,24.3,20,"Penobscot Bay, Upper Bay"
"PBUP",2013,386.5,151.7,27,26.3,20,"Penobscot Bay, Upper Bay"
"PBUP",2012,401,146.5,26,24.8,20,"Penobscot Bay, Upper Bay"
"PBUP",2001,547.5,43,96,13.7,20,"Penobscot Bay, Upper Bay"
"PBUP",1994,334,121.7,25,25.5,20,"Penobscot Bay, Upper Bay"
"PBUP",2017,401.5,135.4,28,26.1,20,"Penobscot Bay, Upper Bay"
"PBUP",1996,371,122.9,24,26,20,"Penobscot Bay, Upper Bay"
"PBUP",1993,261,65.6,18,5.8,20,"Penobscot Bay, Upper Bay"
"PBUP",1995,360,126.5,24,24.8,20,"Penobscot Bay, Upper Bay"
"PBUP",2018,427,69.7,30,7.7,20,"Penobscot Bay, Upper Bay"
"PBUP",2010,392,142.1,26,25.9,20,"Penobscot Bay, Upper Bay"
"PBUP",2002,440,137.6,28,27.3,20,"Penobscot Bay, Upper Bay"
"PBUP",2004,395.5,150,27,26.4,20,"Penobscot Bay, Upper Bay"
"PBUP",2011,395.5,145.8,26,25.2,20,"Penobscot Bay, Upper Bay"
"PBUP",2005,389,143,27,26.8,20,"Penobscot Bay, Upper Bay"
"PBUP",2003,398,148.5,28,28.9,20,"Penobscot Bay, Upper Bay"
"PBUP",1997,363.5,68.9,9,4.2,20,"Penobscot Bay, Upper Bay"
"PBVL",1994,634.5,195.6,118,114.9,19,"Penobscot Bay, Vinalhaven"
"PBVL",2007,657,230.8,126,104.9,19,"Penobscot Bay, Vinalhaven"
"PBVL",2009,634,222.2,125.5,111,19,"Penobscot Bay, Vinalhaven"
"PBVL",2015,648,227.9,126,107.5,19,"Penobscot Bay, Vinalhaven"
"PBVL",2008,644,225.6,128.5,115.1,19,"Penobscot Bay, Vinalhaven"
"PBVL",2014,634,209.7,127,96.8,19,"Penobscot Bay, Vinalhaven"
"PBVL",2016,695.5,230.8,127,110.9,19,"Penobscot Bay, Vinalhaven"
"PBVL",1996,595,186,123,106,19,"Penobscot Bay, Vinalhaven"
"PBVL",2017,748,214.6,135,121.6,19,"Penobscot Bay, Vinalhaven"
"PBVL",1999,652.5,214.4,120,96.1,19,"Penobscot Bay, Vinalhaven"
"PBVL",2001,748.5,69.2,147,17,19,"Penobscot Bay, Vinalhaven"
"PBVL",2006,672.5,240.6,125,108.3,19,"Penobscot Bay, Vinalhaven"
"PBVL",2018,900,97.8,179,18.7,19,"Penobscot Bay, Vinalhaven"
"PBVL",1995,626,211.3,119,102.2,19,"Penobscot Bay, Vinalhaven"
"PBVL",2002,689.5,205.8,127,106.7,19,"Penobscot Bay, Vinalhaven"
"PBVL",1997,528,111,96,13.7,19,"Penobscot Bay, Vinalhaven"
"PBVL",2004,665,229.5,127,104.1,19,"Penobscot Bay, Vinalhaven"
"PBVL",2000,685.5,204.3,122,105.9,19,"Penobscot Bay, Vinalhaven"
"PBVL",1993,624.5,130.7,65,11.1,19,"Penobscot Bay, Vinalhaven"
"PBVL",2012,522,77.9,180,18.9,19,"Penobscot Bay, Vinalhaven"
"PBVL",1998,611,204.7,119,92.7,19,"Penobscot Bay, Vinalhaven"
"PBVL",2010,631.5,227.2,132,103.1,19,"Penobscot Bay, Vinalhaven"
"PBVL",2003,667,220.6,130,115.3,19,"Penobscot Bay, Vinalhaven"
"PBVL",2011,607.5,202.2,123.5,99.3,19,"Penobscot Bay, Vinalhaven"
"PBVL",2013,601,195.4,131,116.3,19,"Penobscot Bay, Vinalhaven"
"PBVL",2005,660.5,237.7,124,113.6,19,"Penobscot Bay, Vinalhaven"
"PBVLW",2016,209,70.1,26.5,24.3,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",2015,197,71.3,27,24.3,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",2009,195,71.5,28,22.8,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",2006,203.5,70.5,28,23.9,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",2001,224,29.3,14,5.3,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",2014,187,63.4,26,24.2,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",2002,209,65.4,26,24.1,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",1994,219,72,29,23.7,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",2011,163,57.5,28,25.3,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",2010,183,66.5,27,24.1,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",2007,203,71.3,28,23.1,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",1999,208,67,27,24.4,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",2004,205,68.7,27,24.9,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",1997,203,41.6,34,8.3,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",2017,224,68.5,28,24.8,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",1995,215,72,27,26.8,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",2000,213,66.6,26,26.3,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",2012,114,22,25,6.6,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",2008,200.5,73.3,28,23.7,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",1993,247,45,38,8.3,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",2005,204.5,70.4,26,25.3,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",2013,166,57.8,26,22.7,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",1996,206,65.6,28,22.1,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",1998,207,64.9,27,21.6,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",2003,203.5,69.9,26,23.6,25,"Penobscot Bay, Vinalhaven,West"
"PBVLW",2018,275,38.9,29,7.6,25,"Penobscot Bay, Vinalhaven,West"
"PNDB",2009,1750,648.3,305,276.4,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",1994,1754,547.7,275.5,266.8,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",2016,1694,579,301.5,249.6,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",2014,1718.5,611.9,298,246.9,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",1999,1748,570.5,292,260.6,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",2007,1730.5,604.2,301,262.5,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",2017,1664,524.8,292,260.1,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",1995,1704,538.4,297,294.8,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",2004,1711,581.9,291,238.3,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",2015,1698.5,604.9,301.5,266.4,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",2018,1592.5,156.1,288,24.1,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",2000,1738,518.3,317,246.3,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",2003,1705.5,571.2,284,411.2,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",2002,1746,518.9,295,243.9,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",1998,1745.5,562.4,283.5,241.8,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",2010,1740,625.9,294,260.3,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",2008,1770,611.3,290,246,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",1993,1687,324.6,228,21.9,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",2001,1741,147.4,440,29.3,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",2005,1749,563.6,285,267.3,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",2012,1714,619.5,288,266.8,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",2011,1708,625.6,298,239.6,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",1996,1722,548,280,246.3,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",2013,1719,590.3,288,247.8,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",2006,1696.5,618,293.5,301.8,6,"Pleasant, Narguagus, Denny Bays"
"PNDB",1997,1782,330.1,266,23.4,6,"Pleasant, Narguagus, Denny Bays"
"WB",2002,1418,391.8,437.5,346.7,5,"Western Bay"
"WB",2007,1426.5,494.8,421,358.5,5,"Western Bay"
"WB",2012,1415,516.7,407,366.4,5,"Western Bay"
"WB",2009,1411,499.6,405.5,407.9,5,"Western Bay"
"WB",2010,1409,490.8,429.5,376.9,5,"Western Bay"
"WB",2017,1293,396.2,420,357.2,5,"Western Bay"
"WB",1993,1489,242.7,335,26.7,5,"Western Bay"
"WB",2015,1381.5,463.3,414.5,336.1,5,"Western Bay"
"WB",2014,1418,483.1,416,356.8,5,"Western Bay"
"WB",1998,1507,449.3,436.5,351.2,5,"Western Bay"
"WB",1994,1487,455.4,400,328.7,5,"Western Bay"
"WB",2011,1426,491.2,416.5,359.4,5,"Western Bay"
"WB",1996,1522,480.6,418,352.1,5,"Western Bay"
"WB",2003,1435,464.7,416,348.5,5,"Western Bay"
"WB",1995,1507.5,465.2,404.5,364.9,5,"Western Bay"
"WB",2016,1361.5,438.3,418,357.3,5,"Western Bay"
"WB",2001,1435.5,57.8,634,35,5,"Western Bay"
"WB",2008,1398,505.1,424,380.8,5,"Western Bay"
"WB",2000,1455,421.8,425,355.3,5,"Western Bay"
"WB",1999,1470,451.7,436,376.3,5,"Western Bay"
"WB",2006,1413.5,515,413,365.8,5,"Western Bay"
"WB",2013,1431,480.3,406,354.7,5,"Western Bay"
"WB",2005,1425.5,476.4,425,359.4,5,"Western Bay"
"WB",2004,1396,489.7,433.5,374.7,5,"Western Bay"
"WB",1997,1646.5,271.8,416,29.3,5,"Western Bay"
"WB",2018,1150,76.3,337,26,5,"Western Bay"
