"Bayunit","Year","Estimate.Nonpups","SD.Nonpups","Estimate.Pups","SD.Pups","BAYNUM","BAYDESC"
"BHBIHW",2004,415.5,147,48,43.5,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2001,400,42.7,107,14.6,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2000,413,116.7,51,42.2,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2017,445,131.2,53,45.2,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2009,418,140,46,42.4,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",1997,352,69.4,18,5.6,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2010,418,136.9,49,41.4,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2005,421,143.2,49,45.7,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",2002,411,126.9,50,45.6,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",1996,390,121.9,44,46,24,"Blue Hill Bay, Isle au Haut, West"
"BHBIHW",1995,396,126.1,44.5,42.7,24,"Blue Hill Bay, Isle au Haut, West"
"BHBMR",2006,3157,1092.6,759,619.7,9,"Blue Hill Bay, Merchants Row"
"BHBMR",1998,3129.5,936.8,713.5,616.9,9,"Blue Hill Bay, Merchants Row"
"BHBMR",2000,3334,1009.6,765.5,620.3,9,"Blue Hill Bay, Merchants Row"
"BHBMR",2008,3085,1064,736.5,674.8,9,"Blue Hill Bay, Merchants Row"
"BHBMR",2001,3940,462.4,1129,48.4,9,"Blue Hill Bay, Merchants Row"
"BHBMR",2013,3226,963.5,733,594,9,"Blue Hill Bay, Merchants Row"
"BHBMR",1999,3247,1069.1,713.5,650.1,9,"Blue Hill Bay, Merchants Row"
"BHBMR",2018,2280.5,302.8,555,33,9,"Blue Hill Bay, Merchants Row"
"BHBMR",2011,3187.5,1009.8,768.5,644.1,9,"Blue Hill Bay, Merchants Row"
"BHBMR",2007,3114,1125,733,708.1,9,"Blue Hill Bay, Merchants Row"
"BHBMR",2014,3124.5,1075.1,723.5,656.5,9,"Blue Hill Bay, Merchants Row"
"BHBMR",2009,3116,1100.9,755,658,9,"Blue Hill Bay, Merchants Row"
"BHBMR",2016,2930.5,1013.3,743.5,599.9,9,"Blue Hill Bay, Merchants Row"
"BHBMR",1993,2882,551.5,479,32.1,9,"Blue Hill Bay, Merchants Row"
"BHBMR",2005,3154.5,1113.6,756,631.8,9,"Blue Hill Bay, Merchants Row"
"BHBMR",2010,3151.5,1040,744,636.2,9,"Blue Hill Bay, Merchants Row"
"BHBMR",2012,3357,462.8,1068.5,45.6,9,"Blue Hill Bay, Merchants Row"
"BHBMR",1994,3052,1016.2,718,639.8,9,"Blue Hill Bay, Merchants Row"
"BHBMR",2015,3012,1044.4,761,589.5,9,"Blue Hill Bay, Merchants Row"
"BHBMR",1995,3064,1072.6,711.5,655,9,"Blue Hill Bay, Merchants Row"
"BHBMR",1997,2952,584.2,633,35.8,9,"Blue Hill Bay, Merchants Row"
"BHBMR",2003,3227,1150.5,744,649.2,9,"Blue Hill Bay, Merchants Row"
"BHBMR",1996,3100,1020.5,723.5,551.4,9,"Blue Hill Bay, Merchants Row"
"BHBMR",2002,3344,1008.2,782,600.2,9,"Blue Hill Bay, Merchants Row"
"BHBMR",2004,3154.5,1087,775,621.7,9,"Blue Hill Bay, Merchants Row"
"BHBMR",2017,2712.5,847.3,716,583.7,9,"Blue Hill Bay, Merchants Row"
"BHBSI",2014,1257,418.2,424.5,372,8,"Blue Hill Bay, Swans Island"
"BHBSI",2008,1354,500.5,421,362.3,8,"Blue Hill Bay, Swans Island"
"BHBSI",2006,1339.5,441.6,421,336.8,8,"Blue Hill Bay, Swans Island"
"BHBSI",2000,1437.5,453.5,433.5,348.2,8,"Blue Hill Bay, Swans Island"
"BHBSI",2007,1335.5,464.2,421,380.3,8,"Blue Hill Bay, Swans Island"
"BHBSI",2009,1303,447.5,419.5,364.8,8,"Blue Hill Bay, Swans Island"
"BHBSI",2001,1608.5,173.8,639,34.8,8,"Blue Hill Bay, Swans Island"
"BHBSI",1993,1867.5,310.2,458,30.3,8,"Blue Hill Bay, Swans Island"
"BHBSI",2016,1275,442.7,407,339.3,8,"Blue Hill Bay, Swans Island"
"BHBSI",2018,1079,154.7,344,25.5,8,"Blue Hill Bay, Swans Island"
"BHBSI",2015,1270.5,444.2,417,328.5,8,"Blue Hill Bay, Swans Island"
"BHBSI",1994,1554.5,492.4,408,326.5,8,"Blue Hill Bay, Swans Island"
"BHBSI",2017,1227,417.8,410,355.3,8,"Blue Hill Bay, Swans Island"
"BHBSI",2010,1276,423,390,318,8,"Blue Hill Bay, Swans Island"
"BHBSI",1999,1390.5,469.2,424,351.9,8,"Blue Hill Bay, Swans Island"
"BHBSI",1998,1380.5,421,421,318.1,8,"Blue Hill Bay, Swans Island"
"BHBSI",2013,1174,385.8,415.5,322.2,8,"Blue Hill Bay, Swans Island"
"BHBSI",2003,1362.5,457.7,445.5,365,8,"Blue Hill Bay, Swans Island"
"BHBSI",1995,1436,466.7,401.5,394.8,8,"Blue Hill Bay, Swans Island"
"BHBSI",2002,1436.5,429.7,438,366.6,8,"Blue Hill Bay, Swans Island"
"BHBSI",2011,1178.5,379.4,422.5,357.3,8,"Blue Hill Bay, Swans Island"
"BHBSI",1997,1376.5,241.6,359,26.5,8,"Blue Hill Bay, Swans Island"
"BHBSI",2005,1330.5,467.4,428.5,336.8,8,"Blue Hill Bay, Swans Island"
"BHBSI",2012,996,125.4,356,26.6,8,"Blue Hill Bay, Swans Island"
"BHBSI",1996,1384.5,439.1,422.5,342.6,8,"Blue Hill Bay, Swans Island"
"BHBSI",2004,1329,478.4,413,327.4,8,"Blue Hill Bay, Swans Island"
"BHBUP",2014,1360.5,441.1,366,316.8,11,"Blue Hill Bay, Upper"
"BHBUP",1993,1273.5,241.3,194,19.6,11,"Blue Hill Bay, Upper"
"BHBUP",2000,1486.5,452.5,383.5,288.1,11,"Blue Hill Bay, Upper"
"BHBUP",2008,1373.5,493,373,390.2,11,"Blue Hill Bay, Upper"
"BHBUP",1994,1328.5,447.3,337.5,301,11,"Blue Hill Bay, Upper"
"BHBUP",2016,1331,448.1,364.5,312.7,11,"Blue Hill Bay, Upper"
"BHBUP",2009,1391.5,469.3,362.5,319.7,11,"Blue Hill Bay, Upper"
"BHBUP",2006,1382.5,492.2,370.5,307,11,"Blue Hill Bay, Upper"
"BHBUP",2001,1620,199,518.5,31.7,11,"Blue Hill Bay, Upper"
"BHBUP",1998,1458,472.3,346,290.9,11,"Blue Hill Bay, Upper"
"BHBUP",2005,1432.5,476.2,374.5,293.4,11,"Blue Hill Bay, Upper"
"BHBUP",2015,1339.5,488.6,369,313.8,11,"Blue Hill Bay, Upper"
"BHBUP",2002,1460.5,431.6,369,299.1,11,"Blue Hill Bay, Upper"
"BHBUP",2017,1261.5,388.5,367.5,310.8,11,"Blue Hill Bay, Upper"
"BHBUP",2010,1410,435.3,352,335.8,11,"Blue Hill Bay, Upper"
"BHBUP",2007,1372.5,503.9,364,293.4,11,"Blue Hill Bay, Upper"
"BHBUP",2013,1406,395.1,360,337,11,"Blue Hill Bay, Upper"
"BHBUP",1999,1454.5,482.1,357,319.8,11,"Blue Hill Bay, Upper"
"BHBUP",2003,1408,462.7,386,302.3,11,"Blue Hill Bay, Upper"
"BHBUP",1995,1413.5,443.8,343.5,293.2,11,"Blue Hill Bay, Upper"
"BHBUP",2018,1092,116.8,344,26.4,11,"Blue Hill Bay, Upper"
"BHBUP",2004,1389.5,480.2,349.5,319.9,11,"Blue Hill Bay, Upper"
"BHBUP",2012,1403.5,96.1,545,33.6,11,"Blue Hill Bay, Upper"
"BHBUP",1996,1440.5,474.4,361,291.2,11,"Blue Hill Bay, Upper"
"BHBUP",1997,1597.5,264.8,319,25.5,11,"Blue Hill Bay, Upper"
"BHBUP",2011,1400,425.9,374,339.2,11,"Blue Hill Bay, Upper"
"BOSHB",2014,3805,1357,250.5,212,14,"Boothbay and Sheepscot Bay"
"BOSHB",1993,3339.5,635.2,137,15.9,14,"Boothbay and Sheepscot Bay"
"BOSHB",2016,3531.5,1265.2,257.5,242.6,14,"Boothbay and Sheepscot Bay"
"BOSHB",2015,3686,1340.9,247.5,218.6,14,"Boothbay and Sheepscot Bay"
"BOSHB",2008,3778.5,1298.4,249.5,220.6,14,"Boothbay and Sheepscot Bay"
"BOSHB",2001,5255,741.2,459,30.3,14,"Boothbay and Sheepscot Bay"
