POINTNUM,BAYNUM,POINTNAME,LAT,LON,Hg,Pv,HgPupSurveySite,PvPupSurveySite
377,9,Mahoney Island,44.2167,-68.51259,,Y,,Y
119,4,Main Channel,44.48254333,-67.55034667,,Y,,Y
755,17,Malcolm Ledge,43.86736667,-68.77591667,Y,Y,,Y
120,4,Man Island,44.489535,-67.52004,,Y,,Y
18,8,Manomet Point,41.92666667,-70.53833333,Y,Y,,
19,8,Manomet to Ellisville,41.84,-70.53333333,Y,Y,,
968,22,Marblehead Island,44.03638833,-69.04194333,,Y,,Y
122,4,Mark Island 4,44.52815,-67.53343167,,Y,,Y
595,26,Mark Island 5,43.72063,-69.89803833,Y,Y,,Y
378,9,Mark Island Ledge,44.134375,-68.69841333,,Y,,Y
121,4,Marker 4 Ledge,44.501135,-67.56393667,,Y,,Y
330,9,Marsh Cove Ledge,44.07051167,-68.66485167,,Y,,Y
91,3,Marsh Island Rock,44.58984,-67.49729,,Y,,Y
446,23,Mason Ledge,44.09759167,-68.48691333,Y,Y,,Y
40,9,Matinicus Rock,43.783758,-68.854921,,Y,Y,Y
756,17,Matinicus Rock,43.78668333,-68.8542,Y,Y,,Y
617,14,McGuire Point Ledge,43.92896333,-69.58574167,,Y,,Y
890,25,Medric Rock,44.06347667,-68.930705,,Y,,Y
757,17,Metinic Green Island,43.86116667,-69.13193333,Y,Y,,Y
891,19,Middle Ledge 1,44.02139,-68.79444167,,Y,,Y
647,14,Middle Mark Island,43.84738333,-69.69548333,,Y,,Y
711,16,Midway Rock,43.87428333,-69.37036667,,Y,,Y
41,11,Milk Island,42.68,-70.59,,Y,,
493,11,Mill Cove Ledge,44.47214,-68.42621333,,Y,,Y
596,13,Ministerial Island,43.71213833,-70.08025667,Y,Y,,Y
123,4,Mink Island,44.48816667,-67.56776167,,Y,,Y
223,6,Mink Island 2,44.53826667,-67.76866667,,Y,,Y
64,2,Mink Island Ledge,44.61916667,-67.27986667,Y,Y,,Y
597,13,Mink Rock,43.70170167,-70.07539,,Y,,Y
824,18,Minot Island Rock,44.25108333,-68.92905,,Y,,Y
825,18,Minot Ledge,44.24498333,-68.94045,,Y,,Y
124,4,Mistake Island C,44.47584167,-67.53987667,,Y,,Y
11,5,Monomoy Island,41.545,-70.005,Y,Y,Y,
524,12,Moody Beach,43.28410167,-70.56853833,,Y,,Y
447,23,Moores Harbor,44.04731,-68.64397,,Y,,Y
448,23,Moores Harbor Ledge,44.03837,-68.66075,,Y,,Y
449,23,Moores Harbor Ledge 2,44.049255,-68.648665,,Y,,Y
